Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,52.83,80.90,Top,0.0
BUTTON_DOWN,75.80,50.70,Top,90.0
BUTTON_PUSH,75.80,58.70,Top,90.0
BUTTON_UP,75.80,66.70,Top,90.0
C1,64.78,17.33,Top,0.0
C2,69.27,21.86,Top,90.0
C3, 5.08,24.77,Top,270.0
C4,57.91,50.55,Top,0.0
C5,69.47,66.70,Top,90.0
C6,67.31,78.20,Top,90.0
C7,66.67,67.82,Top,270.0
C8, 3.68,24.77,Top,270.0
C9, 1.27,24.77,Top,270.0
C10, 0.13,24.77,Top,270.0
C11,-1.02,24.77,Top,270.0
C12,-2.16,24.77,Top,270.0
C13,-4.70,24.77,Top,90.0
C14,-5.84,24.77,Top,270.0
C15,-6.99,24.77,Top,270.0
C16,-8.13,24.77,Top,270.0
C17,51.38,58.29,Top,180.0
C18,50.80,51.56,Top,180.0
C19,63.50,46.99,Top,270.0
C20,12.85,21.54,Top,270.0
C21,12.50,26.00,Top,90.0
C22,57.83,69.98,Top,90.0
C23,61.47,46.99,Top,270.0
C24,74.80,44.20,Top,90.0
C25,60.20,91.06,Top,90.0
C26,64.26,87.38,Top,180.0
C27,64.90,85.85,Top,180.0
C28,68.58,83.82,Top,0.0
C29,62.23,91.06,Top,90.0
C30,14.10,91.06,Top,90.0
C31,13.59,89.41,Top,180.0
C32, 9.40,90.42,Top,90.0
C33, 7.37,90.42,Top,90.0
C34, 5.33,90.42,Top,90.0
C35, 3.30,90.42,Top,90.0
C36, 1.27,90.42,Top,90.0
C37,-0.76,90.42,Top,90.0
C38,-2.41,90.55,Top,90.0
C39,-3.43,90.55,Top,90.0
C40,-5.46,90.55,Top,90.0
C41,-7.49,90.55,Top,90.0
C42,-9.91,90.55,Top,90.0
C43,-8.89,90.55,Top,90.0
C44,-11.30,90.55,Top,90.0
C45,-6.48,90.55,Top,90.0
C46,11.43,90.42,Top,90.0
C47,26.29,91.84,Top,0.0
C48,50.29,46.10,Top,0.0
C49,20.78,19.60,Top,270.0
C50,26.67,94.76,Top,0.0
C51,18.29,95.90,Top,270.0
C52,20.83,25.88,Top,90.0
C53,-72.15,58.74,Top,90.0
C54,69.34,58.70,Top,90.0
C55,69.34,50.70,Top,90.0
C56,73.79,40.39,Top,90.0
CHARGING,74.93,82.93,Top,180.0
D1,22.10,95.14,Top,180.0
D3,64.90,67.56,Top,90.0
D4,16.22,20.60,Top,180.0
D5,16.22,18.75,Top,0.0
D6,16.22,22.46,Top,180.0
D8,70.61,82.93,Top,90.0
D9,72.52,82.93,Top,90.0
D10,67.18,87.50,Top,90.0
ESP32-S3,58.50,24.97,Top,180.0
IC1,51.18,55.12,Top,270.0
IC2,61.34,70.36,Top,0.0
IC3,64.90,82.80,Top,180.0
IC4,58.42,47.50,Top,0.0
IC5,70.87,40.26,Top,0.0
J1, 0.00,117.20,Top,180.0
J2,-74.69,43.18,Top,270.0
J3,-70.76,73.66,Top,90.0
J4,76.06,90.22,Top,90.0
J5, 0.00, 0.00,Top,0.0
JP1,-35.56,16.51,Top,0.0
L1,15.81,25.88,Top,90.0
L2,21.72,98.82,Top,0.0
Q1,61.72,77.60,Top,180.0
Q2,65.53,90.30,Top,270.0
Q3,65.53,93.34,Top,90.0
Q4, 8.32,24.26,Top,0.0
Q5,59.94,66.04,Top,0.0
Q6,26.80,99.08,Top,0.0
R1,59.82,77.60,Top,90.0
R2,66.16,78.20,Top,270.0
R3,63.63,77.60,Top,270.0
R4, 9.27,27.43,Top,270.0
R5,52.83,45.59,Top,90.0
R6,48.90,57.79,Top,90.0
R7,65.15,95.76,Top,270.0
R8,13.08,91.06,Top,90.0
R9, 6.99,27.43,Top,270.0
R10,60.58,73.15,Top,90.0
R11,61.72,73.15,Top,270.0
R12, 4.88,27.43,Top,90.0
R13,66.17,95.76,Top,270.0
R14,-72.52,48.39,Top,0.0
R15,69.34,97.66,Top,270.0
R16,68.20,97.66,Top,270.0
R17,62.74,67.56,Top,0.0
R18,57.40,65.05,Top,270.0
R19,-72.52,49.66,Top,0.0
R20,72.52,44.20,Top,90.0
R21,73.66,44.20,Top,270.0
R22,68.33,66.70,Top,270.0
R23,-12.32,90.55,Top,90.0
R24,-4.45,90.55,Top,90.0
R25,50.80,48.64,Top,270.0
R26,52.83,48.64,Top,270.0
R27,50.67,43.43,Top,180.0
R28,50.67,44.45,Top,180.0
R29,-3.56,24.77,Top,90.0
R30,27.18,96.41,Top,0.0
R31,18.29,99.84,Top,90.0
R32,68.20,58.70,Top,270.0
R33,68.20,50.70,Top,270.0
R34,74.83,40.39,Top,90.0
RESET_BUTTON,73.80,78.20,Top,90.0
S1,25.02,22.86,Top,180.0
S2,58.42,97.79,Top,0.0
SD_CARD,72.39,32.38,Top,90.0
SHT40,-74.00,58.70,Top,0.0
