Comment,Designator,Footprint,LCSC Part #
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
100nF,C1,C0603,
1uF/50V,C9 C10 C11 C16,C0402,
4.7uF/25V,C3 C8 C12 C13 C14 C15 C30,C0402,
47uF,C2 C19,C0603,C178330
4.7uF/25V,C20,C0603,
10uF/25V,C21 C32 C33 C34 C35 C36 C37 C46 C49 C51,C0603,
10uF/16V,C4 C7 C17 C18 C22 C23,C0603,
100nF,C5 C6 C24 C54 C55 C56,C0402,
RED,CHARGING,CHIP-LED0603,C7496820
MBR0530,D1 D4 D5 D6,SOD123-F,
10uH/1A,L1,SMNR4020,C497803
MMDT3904,Q1,SC70-6,C268586
Si1308EDL,Q4,SOT65P210X110-3N,C469327
10k,R1 R2 R3 R6 R17 R22 R32 R33 R34,R0402,
3.3k,R10,R0402,
0.56R,R12,R0402,
2.2R,R9,R0402,C968533
TS-1091C-A8B3-D2,BUTTON_DOWN BUTTON_PUSH BUTTON_UP RESET_BUTTON,TS-1091C-A8B3-D2,
USB-C_GT-USB-7016D,J4,GSWITCH_GT-USB-7016D,C22383817
5.1k,R15 R16,R0402,
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
AFC24-S24FIC-00,J5,GDEM075XXX,
180,R11,R0402,
22uF/16V,C26,C0603,
100n,C27 C28 C53,C0402,
CH9102F,IC3,QFN24-4X4,
AO3401,Q5,SOT23,
100k,R18,R0402,
BAT60B,D3,SOD323-R,
USUP_SPI_CONNECTOR_VERT,J3,1X06_1MM_RA_VERT,C145963
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
ESP32-S3-WROOM-1U-N16R8,ESP32-S3,ESP32S3WROOM1UN16R8,
1M,R4 R20 R30,R0402,
4.7k,R14 R19,R0402,
TP4054,IC2,SOT-23-5,C382138
RT9080-33GJ5,IC1 IC4,SOT94P280X100-5N,
MMDT5401,Q3,SC70-6,C54540
DMG2305UX,Q2,MICRO3,C144153
47k,R7 R13,R0402,
1.3M,R21,R0402,
47uF,C25 C29,C0805,
AFC24-S50FIC-00,J1,GDEP073E01,
0.47uF/25V,C31 C45,C0402,
1uF/25V,C38 C39 C41 C42 C43 C44,C0402,
2.2uF/6.3V,C40,C0402,
47uF/16V,C47 C52,C1210,
1R,R5,R0603,
100n/25V,C48,C0603,
0R,R8 R23 R24 R27 R28 R29,R0402,
0R,R25 R26,R0603,
4.7uF/16V,C50,C0603,
10uH/1A,L2,SMNR4020,C135265
0.22R,R31,R0402,
SI2301,Q6,SOT23,
SHT40,SHT40,SHT40,
STAND-OFF-REFLOW-M2.5_3.0MM_TALL,H5 H6 H7 H8,STAND-OFF-REFLOW-M2.5X3.0,C2915631
MICRO_SDTALL,SD_CARD,HANBO_TF-027-H300,C5310495
SMF05C,IC5,SOT65P210X110-6N,C558425
X6511FRS-15-C85D30,JP1,1X15-F-SMD,C5142248
SLIDE_SWITCH_TA-3530A-A2,S2,TA-3530A-A2,C514025
0.24R,R35,R0402,
